x,y
-95.38890139908565,29.722590199177144
-95.22120320524371,29.59644739744711
-95.42080625586674,29.64912995028415
-95.51504420081568,29.669907646340103
-95.51504420081568,29.743367895233096
-95.51504420081568,29.81682814412609
-95.53582189687164,29.91106608907504
-95.42080625586674,29.91106608907504
-95.46236164797864,29.796050448070137
-95.3681237030297,29.81682814412609
-95.29466345413671,29.890288393019084
-95.29466345413671,29.743367895233096
-95.20042550918775,29.76414559128905
-95.31544115019265,29.64912995028415
-95.20042550918775,29.69068534239606
