x,y
-95.37034913517472,29.902755010652655
-95.54665373251791,29.902755010652655
-95.17490162376289,29.63829811463788
-95.32627298583893,29.85867886131686
-95.26305392243448,29.63829811463788
-95.48343466911346,29.902755010652655
-95.21897777309869,29.594221965302086
-95.28219683650313,29.745593327378124
-95.17490162376289,29.701517178042327
-95.3387396034725,29.669907646340103
-95.41442528451051,29.921897924721307
-95.43935851977767,29.613364879370735
-95.3387396034725,29.802136094347492
-95.43935851977767,29.87782177538551
-95.28219683650313,29.682374263973678
-95.48343466911346,29.833745626049716
-95.21897777309869,29.682374263973678
-95.54665373251791,29.814602711981063
-95.42689190214409,29.669907646340103
-95.43935851977767,29.814602711981063
-95.48343466911346,29.77052656264527
-95.32627298583893,29.726450413309472
-95.48343466911346,29.657441028706533
-95.3828157528083,29.846212243683286
-95.42689190214409,29.758059945011695
-95.37034913517472,29.77052656264527
-95.3828157528083,29.7139837956759
-95.54665373251791,29.745593327378124
-95.52751081844926,29.701517178042327
-95.47096805147989,29.7139837956759
