x,y
-95.49426650475972,29.91106608907504
-95.31544115019265,29.837605840182047
-95.27388575808075,29.722590199177144
-95.42080625586674,29.837605840182047
-95.22120320524371,29.59644739744711
-95.4415839519227,29.743367895233096
-95.31544115019265,29.76414559128905
-95.49426650475972,29.69068534239606
-95.3681237030297,29.890288393019084
-95.16852065240667,29.69068534239606
-95.3681237030297,29.669907646340103
-95.20042550918775,29.76414559128905
-95.53582189687164,29.76414559128905
-95.27388575808075,29.69068534239606
-95.53582189687164,29.837605840182047
